IRIS;COM;DISP_Q113;DISP_MED13;DISP_Q313;DISP_EQ13;DISP_PTSAC13;DISP_PBEN13;DISP_PPEN13;DISP_PPAT13;DISP_PPSOC13;DISP_PIMPOT13
10040101;1004;13160,41667;18376,66667;23818;0,579951932;65,5;2,3;28,6;9,8;8,1;-14,3
10040102;1004;12381,66667;16653,88889;22181,33333;0,588431131;66,9;2;27;7,8;9,5;-13,2
10040201;1004;14076,66667;19125,33333;24580,16667;0,549193042;67,5;3,9;28;10,1;6,4;-15,9
10040202;1004;17364;22826,25;29374;0,526148623;61,4;4,2;22,3;34,1;3,3;-25,3
10330101;1033;13899,33333;19177;28160,83333;0,743677322;76,5;1,7;22,1;7,5;5;-12,8
10330102;1033;12799,33333;18043;24850;0,667885976;68,6;4,2;26,2;8,4;6;-13,4
10330201;1033;15585;22604;31744;0,714873474;74,7;4,6;24;8,2;3,5;-15
10330202;1033;13048,85714;16986,66667;24511,66667;0,674812178;69,8;1,1;27;6,1;8,5;-12,5
10330301;1033;14086,66667;19672,08333;27135,71429;0,6633282;78,6;1,5;19,4;7,1;5,6;-12,2
10530101;1053;13803,33333;18334,28571;25692,22222;0,648451163;68,7;4,8;23,4;13,1;7,2;-17,2
10530102;1053;14276,19048;19405;26813,33333;0,646077962;53,8;2,9;42,2;12,9;5,5;-17,3
10530103;1053;15030;20148;30775,33333;0,781483687;63,6;12,1;27,8;13,7;4,9;-22,1
10530201;1053;14469,6;19188,5;25341,25;0,566571123;63,8;2,1;34,4;9,4;6,7;-16,4
10530202;1053;12200,95238;15849,04762;21338,8;0,576554998;67;2,6;26,7;6,8;10,2;-13,3
10530203;1053;14175,41667;19302,66667;25874,66667;0,606095013;66,4;2,5;32,1;8,1;6,8;-15,9
10530301;1053;16276;21620,66667;30167;0,642487127;69,5;4,5;29,6;12,6;3,8;-20
10530302;1053;14228;18858;25233;0,583571959;67,2;4,3;29,6;10;6,3;-17,4
10530401;1053;13468,73913;17980;23831,5;0,576349325;56;4,1;38;8,8;7,5;-14,4
10530402;1053;15955,55556;20489,04762;27185;0,548070591;67,3;3,3;33,6;8,4;4,2;-16,8
10530501;1053;16910,625;21921,77656;29336,83333;0,566843125;55,3;5,4;43,3;11,6;3,1;-18,7
10530502;1053;14887;19984,5;26768;0,594510746;60,9;6,1;32,9;13,1;5,2;-18,2
10530503;1053;10790,66667;14096;18036,45161;0,514031282;60,7;2;24,2;5,3;19;-11,2
10530601;1053;10636;14156,53846;19463,33333;0,623551679;54,1;1,6;34,6;7,6;13,9;-11,8
10530602;1053;10728,09524;13879,23077;18614;0,568180247;50,9;1;38,5;7,3;13,1;-10,8
10530603;1053;9838,666667;13038,33333;16740;0,529311006;;;;;;
10530604;1053;15536;20553,88889;26606,11111;0,538589615;54,6;2,5;43,3;10,4;4,8;-15,6
10530701;1053;14799,52381;19340,8;24339,04762;0,493233155;72,5;2,9;26,6;7,8;7;-16,8
12830102;1283;11007,2;14133,88889;17878,5;0,486157777;63,8;0,2;24,5;4,6;15,6;-8,7
12830103;1283;11781,21429;15076,95652;18655,83333;0,455968619;59,7;0,6;32,1;6,3;11,8;-10,5
12830104;1283;10397,61905;13212,69231;16786;0,483503347;62,3;1,3;22,1;3,9;19,3;-8,9
12830201;1283;13414;17596;22985;0,543930439;60,8;2,4;33,7;14,1;5,9;-16,9
12830202;1283;12502,38095;17758;22872,77778;0,583984504;64,6;3,4;29,2;10,7;6,7;-14,6
12830203;1283;11432,22222;14983,89744;20606;0,61224243;57,8;3,9;31,8;8;11,4;-12,9
12830301;1283;12868,75;17534,28571;22630,38462;0,556716981;68,7;3,3;28,4;7,6;6,9;-14,9
12830303;1283;12954,86486;17570;22977;0,570411789;67,5;5,6;25,9;10;7;-16
12830304;1283;14181;18816;24094;0,526838861;71,9;3,9;24,6;11;5,4;-16,8
12830305;1283;19497,82609;24137;31166;0,483414422;71,7;4,1;26,2;17,5;1,9;-21,4
21680101;2168;12324,7619;16747,22222;22397,66667;0,601467194;64,3;5,6;27,5;9,7;8,8;-15,9
21680201;2168;14471;19502,5;25856;0,583771311;61,6;10,5;29,2;12,6;5,1;-19
21680401;2168;14110;18411;23892,66667;0,531349012;62,2;4,6;32,7;10,3;6,3;-16,1
21680501;2168;10208,66667;13160,66667;17021,33333;0,517653614;;;;;;
21680601;2168;16393,95833;21786;28991,90476;0,57825881;58,3;7,3;38,6;10,5;4,1;-18,8
21680701;2168;12222,85714;16935;22240,5;0,59153486;62,6;4,1;30,4;5,8;10,8;-13,7
21730101;2173;10553,6;14343,33333;19353,33333;0,613506856;54,4;1,6;33,8;5,6;15,4;-10,8
21730201;2173;12209,52381;16957,63043;22823,33333;0,625901689;57,3;5,7;33,4;9,7;8,4;-14,5
21730301;2173;13608,88889;18905,2381;24926,66667;0,598658304;60,4;10;31,5;8,2;6,2;-16,3
24080101;2408;8753,125;12072;16711,33333;0,659228656;47,8;0,6;32,6;4,6;23,3;-8,9
24080102;2408;8392,258065;10539,13043;13764,34783;0,509727989;;;;;;
24080103;2408;9218,26087;12618,57143;18540;0,738731732;;;;;;
24080201;2408;11936,19048;16265,75758;21690;0,599652951;57,4;2,9;36;6,5;10,3;-13,1
24080301;2408;12781;18225;25299,52381;0,686887452;55,5;8,4;34,3;11,7;7,5;-17,4
24080401;2408;15055;20516,92308;28060,33333;0,633883223;60,7;5,9;36,8;10,3;4,7;-18,4
24080402;2408;11608,33333;15135;18906,19048;0,482184152;66,5;1,6;27,4;3,1;13;-11,6
24080501;2408;11754,81481;17906,16667;26223,92857;0,808051998;68,5;10,8;22,1;9,4;8,6;-19,4
24080601;2408;13470,83333;18226,5;23348,33333;0,541930705;63,1;4,5;32,7;7,4;7,4;-15,1
24080801;2408;11546,84211;16109,52381;21694;0,629885651;56,6;3,4;35,1;6,3;12,1;-13,5
24080901;2408;15734,66667;20658,5;27864;0,587135239;65,2;6,4;32,6;10,3;3,9;-18,4
26910101;2691;13891,90476;19928;30954,5;0,856212126;58,6;18,6;25,5;12,8;6,4;-21,9
26910102;2691;14062,66667;22341,66667;36765,21739;1,01615296;58,9;19,7;24,3;15,7;5,3;-23,9
26910103;2691;11183;16563,33333;23661,71429;0,753393899;61,9;10,3;23,8;13;9,4;-18,4
26910104;2691;12046,66667;17216,11111;24403,33333;0,717738552;67,6;8,2;23;8,5;10;-17,3
26910201;2691;13665,83333;18536,16667;25725;0,650575002;64,8;7,9;29,8;7,8;6,9;-17,2
26910202;2691;13836,66667;19102,6087;24562;0,561459092;68,1;1,9;32,9;6,5;5,7;-15,1
26910203;2691;13536,66667;18696;25349,33333;0,631828555;52,9;7,5;40,4;9,9;6;-16,7
26910204;2691;8752,857143;11885,38462;16550;0,656027811;44,7;3,9;31,3;5,9;24,6;-10,4
26910205;2691;8744,285714;11194;14493,33333;0,513582957;;;;;;
26910206;2691;9339,433962;12995,5;17838,66667;0,65401352;;;;;;
26910207;2691;10034,45652;14562,04;19359,5;0,640366561;;;;;;
26910208;2691;14880,5;19832,66667;26788;0,600398333;62,7;8;31,3;10,9;5,3;-18,2
26910209;2691;13570,41667;19158,66667;28720,66667;0,79077789;61,7;8,1;30,8;10;7;-17,6
26910301;2691;10855,51724;15387,5;19992;0,593760049;63,8;3,5;25,4;4,8;14,4;-11,9
26910302;2691;12656,15385;16646,2381;20957;0,498661986;58,3;1,5;37,6;5,8;9,1;-12,3
26910303;2691;10900;14682;18658;0,528402125;51,4;1,3;37,5;3,1;16,5;-9,8
26910304;2691;11599;15215,85714;20170,55556;0,563330444;56,6;3,5;32,9;5,3;13,3;-11,6
26910401;2691;11985,33333;16461,78571;21862;0,599975412;56,1;5,2;34,8;6,5;10,9;-13,5
26910402;2691;12174;16402;20327,33333;0,49709385;63,4;3,1;30,1;4,3;11;-11,9
26910403;2691;12593,5;17393,33333;22209;0,552826754;58;1,4;39,5;5,4;8,6;-12,9
26910501;2691;11814,44444;15944,875;20438,66667;0,54087738;58,6;2,4;32,8;6,7;11,7;-12,2
26910502;2691;11550;16140;22085,76923;0,652773806;57;5,7;31,2;8,1;11,9;-13,9
26910503;2691;9338,783069;11967,58621;16689,44444;0,614214199;49,4;1,3;28,5;3,8;25,1;-8,1
26910504;2691;12965,33333;17935,02778;23567,33333;0,591133737;53;2,6;43,6;6,1;8,2;-13,5
26910601;2691;12327,24138;16780;21518;0,547721014;61,4;3,9;30,2;7,9;10,2;-13,6
27220101;2722;9631,37931;13090;18227,33333;0,65668098;43,6;2,9;37,7;9,4;18,4;-12
27220102;2722;8221,666667;11178,125;14098,21429;0,525718546;;;;;;
27220103;2722;9877,272727;12898,5;16929;0,546709096;59;1,7;24,1;3,6;21;-9,4
27220201;2722;11707,69231;15955,5;20079;0,524665958;53,7;0,6;41,8;5;10,2;-11,3
27220301;2722;17297,14286;23020,86957;30941;0,592673405;59,3;9,4;36;12,6;2,7;-20
27220401;2722;10587;13902;18272;0,552798159;46;0,9;38,7;5,2;18,1;-8,9
27220501;2722;16442,8;21980;29689,5;0,60267061;58,2;10;32,5;15,3;3,5;-19,5
27220502;2722;13270,47619;17996,33333;24886;0,645438356;51,7;5,5;37,7;14,1;7,5;-16,5
27220503;2722;14172;19374;28880;0,759161763;52,6;17,5;29,8;16,9;4,8;-21,6
27220601;2722;9208,666667;12242,38095;16711,25;0,612836944;57,1;1;20,3;3,9;26,7;-9
27220701;2722;14490,66667;18614;24573,91304;0,541702287;64,2;5,4;30,3;9,7;6,4;-16
27220801;2722;12350;15956;20619,16667;0,518248099;69,8;2,4;22,2;7;11,6;-13
27220901;2722;14638;19274;26940,86957;0,638314287;60,5;12,4;28,8;12,9;5,2;-19,8
27380101;2738;12434,16667;16471;21407;0,544765548;59,3;2,8;34,3;5,8;9,8;-12
27380102;2738;12100,41667;15642,05556;19380;0,465385339;;;;;;
27380201;2738;12283,88889;16812;21693;0,559666376;59,1;2,8;34,4;5,2;10;-11,5
27380301;2738;12847,31707;17380;22400,66667;0,54967489;54,9;2,4;39,8;7,1;8,5;-12,7
27380302;2738;10412,77778;14361,11111;19296,66667;0,61860735;56,5;2,7;31,5;5,1;15,1;-10,9
27380401;2738;12737,5;17230;21582,69231;0,513359971;59,9;2,7;34,4;6,5;8,6;-12,1
28100102;2810;14419;18468,09524;24627;0,552737024;62,4;3,5;33,2;10,4;5,6;-15,1
28100202;2810;14504,51282;19424,66667;25129,5;0,546984273;69;5,9;27;10,6;5,1;-17,6
28100302;2810;15709,64286;19337,2973;24001;0,428775388;77,5;2,5;22,4;6,4;5,5;-14,3
28100401;2810;11701,81818;14882;19083;0,495980501;75,2;0,6;16,4;3,3;15,1;-10,6
30950101;3095;12185,33333;16700,66667;22322;0,606961798;46,8;7,9;39,3;10,8;9,9;-14,7
30950102;3095;13589,23077;18277,33333;24218;0,581527351;53,4;4,5;38,2;11,3;7,7;-15,1
30950103;3095;11760,66667;16055,5;20665,33333;0,554617836;59,5;2,1;31,1;7,6;12,5;-12,8
30950106;3095;17225,33333;22054;27240;0,454097518;61,5;7,4;32,9;12,5;2,8;-17,1
30950111;3095;14646,93333;18806;24568,57143;0,527578331;52,7;4,7;41,5;11;5,3;-15,2
31850101;3185;13263;19086;27297,91667;0,735351392;52,2;10,5;31,7;18,9;7,3;-20,6
31850102;3185;13385;18210,55556;24605,2381;0,616139253;55,8;6,6;33,7;12,6;8,3;-17
31850103;3185;12982,38095;18058;23855,41667;0,602117384;54,9;3,7;36,7;11,7;8,3;-15,3
31850104;3185;13437;17699;22432;0,508220803;53,3;3,6;38,3;9,1;8,7;-13
31850105;3185;11440;16073,33333;20498;0,563542099;47,6;0,8;41;9,1;12,6;-11,1
31850106;3185;10948,66667;14978,66667;19575,71429;0,575955645;45,6;2,3;38,9;8,5;15,6;-10,9
31850108;3185;14220;18858,84615;24388,33333;0,539181096;59,5;3,4;35,4;10,4;6,6;-15,3
31850110;3185;15478;20704,66667;27978,66667;0,603760827;53,9;7,2;39,9;12,6;4,1;-17,7
31850111;3185;16052,66667;21194,66667;28723,47826;0,59783019;55,6;6,7;37,8;13,4;4,3;-17,8
31850112;3185;15226,66667;19818,5;25076;0,49697673;51,8;3,1;44;11;5,2;-15,1
31850113;3185;11652;15560,5;20496,08696;0,568367787;50,9;0,6;38;8,2;13,5;-11,2
31850114;3185;14278,57143;18575;23373,33333;0,48962379;51,9;1,9;41,7;10,5;7,6;-13,6
31850115;3185;10727,22222;14905,5;20123,33333;0,630378794;41,8;1,2;43,1;8,5;16,5;-11,1
31850116;3185;13861,66667;18200,76923;23402,4;0,524193962;45,4;2,2;47,4;11,5;6,8;-13,3
31850117;3185;11936;15631,5;20002;0,51600934;46,1;1,1;43,5;6,8;12,2;-9,7
31900101;3190;12840;18043;26111,66667;0,735557649;58,3;8,3;31;12,1;8,1;-17,8
31900102;3190;14433,47826;18734;26344,28571;0,635785601;55;7;34,9;14,1;6,1;-17,1
31900103;3190;13793,07692;17850;22538,66667;0,489949005;69,7;2,1;27,6;6,2;7,9;-13,5
31900104;3190;11960;16494,7619;21735,5;0,592642686;56,7;2,5;32,2;7,9;12,9;-12,2
31900105;3190;15661,03448;20264;26366;0,528275045;62,9;7,3;30,9;9,8;6,1;-17
31900106;3190;15356;20758,88889;28210;0,619204625;56,2;7;34,1;15,3;5,8;-18,4
31900107;3190;11374;15835;21025,2;0,609485317;50,2;3,2;39;8,3;11,8;-12,5
31900108;3190;10645,2381;14578;18843,33333;0,562360765;49,3;1;33,7;6;20;-10
31900109;3190;15078;19316;24740;0,500207082;53,3;3,5;40,7;11,4;5,9;-14,8
33100101;3310;12385,5814;17768,33333;25585;0,742861942;39,9;5,9;46,6;15,3;8,6;-16,3
33100102;3310;11930;16093,33333;22048;0,628707539;41,7;3,5;45,2;12,1;11;-13,5
33100103;3310;11992,66667;16120;21319,42857;0,578583245;56,2;2,8;34,2;8,2;11,5;-12,9
33100104;3310;14540,95238;18917,61905;24437,77778;0,523153858;57,6;2,9;39,8;9,5;5,9;-15,7
33100105;3310;13138;17945,57143;25113,33333;0,667314127;54,7;5,3;36,2;11,4;8,5;-16,1
33100106;3310;15393;23120;35218;0,857482699;34,2;8,8;53,7;22,3;3,4;-22,4
33100107;3310;15477;21948;31706;0,739429561;37,8;7,1;51,8;18,8;4,2;-19,7
33100108;3310;14934;20017,77778;27520;0,628741119;47,6;2,9;45,9;15,8;4,2;-16,4
33100109;3310;10311;13511,11111;17642;0,542590461;40;1,4;40,9;6,8;20,3;-9,4
33100110;3310;14313;18354;23924;0,523646072;46,4;2,1;47,9;11,3;6,2;-13,9
33210101;3321;16479,5;21331,73913;28209,61111;0,549890051;57;6,3;37,8;12,4;4,1;-17,6
